ticker,date,direction,confidence,risk,instrument,url,title,entry_date,exit_date,days_held,entry_px,exit_px,pnl,ret,exit_reason
PANW,2026-04-04,bullish,0.75,5.0,stock,https://www.fool.com/investing/2026/04/04/this-ceo-just-put-10-million-of-his-own-money-into/,This CEO Just Put $10 Million of His Own Money Into His Company's Stock. Here's Why It's a Great Buy Right Now.,2026-04-06,2026-04-10,4,163.5334,155.73,-375.83,-0.0487,trailing_stop
NOW,2026-04-08,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/08/2-tech-stocks-that-could-help-set-you-up-for-life/,2 Tech Stocks That Could Help Set You Up for Life,2026-04-09,2026-04-10,1,96.5965,83.0,-972.04,-0.1416,trailing_stop
NFLX,2026-04-05,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/05/should-you-buy-netflix-stock-before-april-16/,Should You Buy Netflix Stock Before April 16?,2026-04-06,2026-04-17,9,101.061,97.31,-304.93,-0.0381,trailing_stop
NFLX,2026-04-09,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/09/everyone-said-it-was-too-late-to-buy-netflix/,Everyone Said It Was Too Late to Buy Netflix. They Were Wrong.,2026-04-10,2026-04-17,5,102.5725,97.31,-418.45,-0.0523,trailing_stop
TXN,2026-04-05,bullish,0.7,3.0,stock,https://www.fool.com/investing/2026/04/05/dividend-stock-down-best-buy-txn-texas/,This Dividend Stock Is Down 8% and That Makes It One of the Best Buys of the Year,2026-04-06,2026-04-27,15,197.187,269.5,2810.25,0.3071,trailing_stop
AVGO,2026-04-05,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/05/3-high-growth-stocks-down-25-to-buy-before-tech/,3 High-Growth Stocks Down 25% to Buy Before the 2026 Tech Rebound,2026-04-06,2026-04-28,16,315.3751,399.83,2171.22,0.2169,trailing_stop
AMD,2026-04-03,bullish,0.75,6.0,stock,https://www.fool.com/investing/2026/04/03/amd-vs-nvidia-the-ai-supercycle-is-big-enough-for/,AMD vs. Nvidia: The AI Supercycle Is Big Enough for Both. Here's the Better Buy.,2026-04-06,2026-04-28,16,219.4993,323.21,2343.97,0.3643,trailing_stop
AVGO,2026-04-04,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/04/should-forget-sandisk-buy-ai-stock-cheap/,Should You Forget Sandisk and Buy These 2 AI Stocks While They're Cheap?,2026-04-06,2026-04-28,16,315.3751,399.83,1736.97,0.2169,trailing_stop
OMAB,2026-04-12,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/12/reshoring-theme-stock-south-border-omab/,Want to Play the Reshoring Theme? You Might Want to Buy These Stocks South of the Border.,2026-04-13,2026-04-28,11,115.4053,105.87,-573.43,-0.0835,trailing_stop
AMD,2026-04-13,bullish,0.75,5.0,stock,https://www.fool.com/investing/2026/04/13/im-not-buying-nvidia-right-now-these-2-growth-stoc/,I'm Not Buying Nvidia Right Now. These 2 Growth Stocks Are the Smarter AI Supercycle Play.,2026-04-14,2026-04-28,10,250.0398,323.21,2215.29,0.2869,trailing_stop
RACE,2026-04-15,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/15/should-you-buy-ferrari-while-its-below-400/,Should You Buy Ferrari While It's Below $400?,2026-04-16,2026-04-28,8,362.7824,342.71,-579.39,-0.0563,trailing_stop
NVDA,2026-04-03,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/03/the-top-ai-semiconductor-stocks-to-buy-right-now/,The Top AI Semiconductor Stocks to Buy Right Now,2026-04-06,2026-04-30,18,177.3322,199.57,1230.85,0.123,trailing_stop
NVDA,2026-04-05,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/05/monster-stocks-best-investment-decade-nvda/,These 2 Monster Stocks Could Be the Best Investments You Make This Decade,2026-04-06,2026-04-30,18,177.3322,199.57,1266.02,0.123,trailing_stop
META,2026-04-05,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/05/3-high-growth-stocks-down-25-to-buy-before-tech/,3 High-Growth Stocks Down 25% to Buy Before the 2026 Tech Rebound,2026-04-06,2026-04-30,18,578.2677,611.91,887.99,0.0862,trailing_stop
NVDA,2026-04-04,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/04/should-forget-sandisk-buy-ai-stock-cheap/,Should You Forget Sandisk and Buy These 2 AI Stocks While They're Cheap?,2026-04-06,2026-04-30,18,177.3322,199.57,984.68,0.123,trailing_stop
NVDA,2026-04-12,bullish,0.85,3.0,stock,https://www.fool.com/investing/2026/04/12/nvidia-built-an-ai-chip-empire-but-its-this-other/,Nvidia Built an AI Chip Empire. But It's This Other Creation That Makes the Stock a Screaming Buy Today.,2026-04-13,2026-04-30,13,186.216,199.57,1272.4,0.1011,trailing_stop
NVDA,2026-04-11,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/11/stocks-rallied-after-president-donald-trumps-cease/,Stocks Rallied After President Donald Trump's Ceasefire in Iran. Here's How to Invest Now.,2026-04-13,2026-04-30,13,186.216,199.57,1012.13,0.1011,trailing_stop
NVDA,2026-04-13,bullish,0.75,4.0,stock,https://www.fool.com/investing/2026/04/13/3-ai-stocks-that-are-way-cheaper-than-apple-right/,3 AI Stocks That Are Way Cheaper Than Apple Right Now,2026-04-14,2026-04-30,12,191.0308,199.57,660.89,0.0734,trailing_stop
META,2026-04-22,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/22/ranking-magnificent-seven-most-to-least-attractive/,"Ranking the ""Magnificent Seven"" From Most to Least Attractive, Based on Future Cash Flow",2026-04-23,2026-04-30,5,664.3637,611.91,-822.39,-0.0799,trailing_stop
NVDA,2026-04-14,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/14/nvidias-stock-is-up-over-1100-since-2023-and-it-ju/,"Nvidia's Stock Is Up Over 1,100% Since 2023, And It Just Might Be Getting Started",2026-04-15,2026-05-01,12,196.7365,198.45,77.08,0.0077,trailing_stop
NVDA,2026-04-15,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/15/amazons-50-billion-ai-chip-business-a-significant/,Amazon's $50 Billion AI Chip Business: A Significant Threat to Nvidia?,2026-04-16,2026-05-01,11,197.6274,198.45,25.29,0.0032,trailing_stop
NVDA,2026-04-17,bullish,0.75,4.0,stock,https://www.fool.com/investing/2026/04/17/the-top-5-ai-stocks-set-for-hypergrowth-in-2026/,The Top 5 AI Stocks Set for Hypergrowth in 2026,2026-04-20,2026-05-01,9,200.18,198.45,-86.79,-0.0096,trailing_stop
NVDA,2026-04-20,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/20/prediction-the-nasdaq-will-hit-new-all-time-highs/,Prediction: The Nasdaq Will Hit New All-Time Highs This Year. This Is the Best Artificial Intelligence (AI) Growth Stock to Own When It Does.,2026-04-21,2026-05-01,8,202.3321,198.45,-201.88,-0.0202,trailing_stop
NVDA,2026-04-22,bullish,0.75,4.0,stock,https://www.fool.com/investing/2026/04/22/these-3-growth-stocks-are-built-for-the-long-haul/,These 3 Growth Stocks Are Built for the Long Haul. Buy Them Now and Don't Look Back.,2026-04-23,2026-05-01,6,202.6625,198.45,-196.08,-0.0218,trailing_stop
NVDA,2026-04-23,bullish,0.8,4.0,stock,https://www.fool.com/investing/2026/04/23/prediction-the-nasdaq-could-soar-to-30000-by-2027/,"Prediction: The Nasdaq Could Soar to 30,000 by 2027. These Are the Best Artificial Intelligence (AI) Growth Stocks to Own Until Then.",2026-04-24,2026-05-01,5,200.16,198.45,-95.44,-0.0095,trailing_stop
OXY,2026-04-23,bullish,0.75,5.0,stock,https://www.fool.com/investing/2026/04/23/this-warren-buffett-stock-is-now-a-no-brainer-buy/,This Warren Buffett Stock Is Now a No-Brainer Buy -- Thanks to the Trump Administration,2026-04-24,2026-05-07,9,57.6576,53.94,-505.12,-0.0654,trailing_stop
PWR,2026-04-16,bullish,0.75,5.0,stock,https://www.fool.com/investing/2026/04/16/got-10000-this-quiet-electrification-stock-up-100/,"Got $10,000? This Quiet Electrification Stock Up 100%+ Could Still Be a No‑Brainer ""Buy and Never Sell.""",2026-04-17,2026-05-08,15,588.2276,745.0,1964.81,0.2544,trailing_stop
WM,2026-04-19,bullish,0.75,2.0,stock,https://www.fool.com/investing/2026/04/19/this-trashhauling-giant-could-be-the-only-industri/,This Trash‑Hauling Giant Could Be the Only Industrial Stock I'd Buy and Never Sell,2026-04-20,2026-05-11,15,223.7836,214.11,-511.78,-0.0442,trailing_stop
NFLX,2026-04-25,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/25/1-reason-im-never-selling-netflix-stock/,1 Reason I'm Never Selling Netflix Stock,2026-04-27,2026-05-11,10,92.142,85.45,-589.03,-0.0736,trailing_stop
FLUT,2026-04-27,bullish,0.8,6.0,stock,https://www.fool.com/investing/2026/04/27/1-no-brainer-growth-stock-to-buy-with-100-right-no/,1 No-Brainer Growth Stock to Buy With $100 Right Now,2026-04-28,2026-05-11,9,109.9598,93.96,-1046.48,-0.1464,trailing_stop
SNDK,2026-04-19,bullish,0.8,7.0,stock,https://www.fool.com/investing/2026/04/19/the-smartest-growth-stocks-to-buy-with-1000-before/,"The Smartest Growth Stocks to Buy With $1,000 Before the Nasdaq Heads Higher",2026-04-20,2026-05-12,16,931.901,1452.02,2679.83,0.4685,trailing_stop
MSFT,2026-04-03,bullish,0.85,4.0,stock,https://www.fool.com/investing/2026/04/03/is-microsoft-the-next-alphabet/,Is Microsoft the Next Alphabet?,2026-04-06,2026-05-13,27,373.8635,405.21,1058.88,0.0962,trailing_stop
MSFT,2026-04-05,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/05/3-high-growth-stocks-down-25-to-buy-before-tech/,3 High-Growth Stocks Down 25% to Buy Before the 2026 Tech Rebound,2026-04-06,2026-05-13,27,373.8635,405.21,990.12,0.0962,trailing_stop
MSFT,2026-04-09,bullish,0.7,2.0,stock,https://www.fool.com/investing/2026/04/09/if-i-had-5000-to-invest-in-artificial-intelligence/,"If I Had $5,000 to Invest in Artificial Intelligence (AI) Right Now, I'd Buy These 2 Stocks Before They Rebound",2026-04-10,2026-05-13,23,373.353,405.21,1005.56,0.0977,trailing_stop
CEG,2026-04-15,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/15/this-magnificent-energy-stock-is-down-20-buy-it-be/,This Magnificent Energy Stock Is Down 20%. Buy It Before It Sets a New All-Time High.,2026-04-16,2026-05-13,19,296.6564,274.89,-509.99,-0.0743,trailing_stop
AMD,2026-04-20,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/20/if-i-had-10000-to-put-into-ai-stocks-right-now-her/,"If I Had $10,000 to Put Into AI Stocks Right Now, Here's Exactly How I'd Invest It",2026-04-21,2026-05-13,16,277.6073,445.5,2793.35,0.407,trailing_stop
CRM,2026-04-29,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/29/the-great-rotation-out-of-tech-may-already-be-reve/,The Great Rotation Out of Tech May Already Be Reversing. These Are the Best Artificial Intelligence (AI) Growth Stocks to Buy Now.,2026-04-30,2026-05-13,9,178.4783,165.84,-574.5,-0.0717,trailing_stop
PLTR,2026-04-30,bullish,0.85,7.0,stock,https://www.fool.com/investing/2026/04/30/with-trumps-15-trillion-defense-budget-palantir-lo/,"With Trump's $1.5 Trillion Defense Budget, Palantir Looks Less Like a ""Story Stock"" and More Like a Strategic Vendor",2026-05-01,2026-05-13,8,143.3932,130.05,-591.2,-0.094,trailing_stop
MU,2026-04-03,bullish,0.8,6.0,stock,https://www.fool.com/investing/2026/04/03/the-high-bandwidth-memory-hbm-bottleneck-can-still/,The High-Bandwidth Memory (HBM) Bottleneck Can Still Cause Micron's Stock to Soar,2026-04-06,2026-05-15,29,374.1738,724.66,4209.61,0.5888,trailing_stop
CCJ,2026-04-02,bullish,0.75,5.0,stock,https://www.fool.com/investing/2026/04/02/nuclear-power-is-the-energy-story-of-the-decade-th/,Nuclear Power Is the Energy Story of the Decade. This Stock Is Built to Last.,2026-04-06,2026-05-15,29,112.4223,107.51,-344.8,-0.0447,trailing_stop
MU,2026-04-03,bullish,0.75,6.0,stock,https://www.fool.com/investing/2026/04/03/the-top-ai-semiconductor-stocks-to-buy-right-now/,The Top AI Semiconductor Stocks to Buy Right Now,2026-04-06,2026-05-15,29,374.1738,724.66,3788.65,0.5888,trailing_stop
NVO,2026-04-03,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/03/why-novo-nordisks-pricing-shift-could-unlock-a-muc/,Why Novo Nordisk's Pricing Shift Could Unlock a Much Larger Obesity Market,2026-04-06,2026-05-15,29,37.037,44.74,1538.24,0.1921,trailing_stop
MU,2026-04-09,bullish,0.8,7.0,stock,https://www.fool.com/investing/2026/04/09/2-ridiculously-cheap-artificial-intelligence-ai-st/,"2 Ridiculously Cheap AI Stocks That Could Turn $1,000 Into at Least $5,000 by 2028",2026-04-10,2026-05-15,25,420.7103,724.66,3101.16,0.5422,trailing_stop
PAC,2026-04-12,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/12/reshoring-theme-stock-south-border-omab/,Want to Play the Reshoring Theme? You Might Want to Buy These Stocks South of the Border.,2026-04-13,2026-05-15,24,244.5143,238.45,-176.93,-0.0258,trailing_stop
RCL,2026-04-15,bullish,0.7,5.0,stock,https://www.fool.com/investing/2026/04/15/the-sp-500-is-down-heres-how-to-put-1000-to-work-r/,"The S&P 500 Is Down. Here's How to Put $1,000 to Work Right Now.",2026-04-16,2026-05-18,22,284.1238,252.59,-767.91,-0.1119,trailing_stop
AMZN,2026-04-05,bullish,0.75,3.0,stock,https://www.fool.com/investing/2026/04/05/monster-stocks-best-investment-decade-nvda/,These 2 Monster Stocks Could Be the Best Investments You Make This Decade,2026-04-06,2026-05-19,31,210.0048,259.34,2114.48,0.2054,trailing_stop
AMZN,2026-04-06,bullish,0.8,3.0,stock,https://www.fool.com/investing/2026/04/06/1-brilliant-growth-stock-to-buy-before-it-joins-nv/,1 Brilliant Growth Stock to Buy Before It Joins Nvidia in the $4 Trillion Club,2026-04-07,2026-05-19,30,211.4512,259.34,2255.09,0.1971,trailing_stop
BN,2026-04-11,bullish,0.7,4.0,stock,https://www.fool.com/investing/2026/04/11/billionaire-bill-ackman-has-39-of-his-hedge-funds/,Billionaire Bill Ackman Has 39% of His Hedge Fund's $17.7 Billion Stock Portfolio Invested in 3 Stellar Companies,2026-04-13,2026-05-19,26,41.8018,44.28,644.9,0.0805,trailing_stop
